"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846051_3663846053[Simulated Levels\CDX.EM.OTR.5Y]"
"0","20241018","100.000447296","100.000447296"
"0","20241021","99.9673461893","99.9673461893"
"0","20241022","99.9807805867","99.9807805867"
"0","20241023","99.9818007444","99.9818007444"
"0","20241024","100.019638998","100.019638998"
"0","20241025","100.005801541","100.005801541"
"0","20241028","100.01982085","100.01982085"
"0","20241029","100.01697646","100.01697646"
"0","20241030","99.9775474239","99.9775474239"
"0","20241031","99.9749097128","99.9749097128"
"0","20241101","99.9812766504","99.9812766504"
"0","20241104","99.9746089777","99.9746089777"
"0","20241105","100.029896109","100.029896109"
"0","20241106","100.071781834","100.071781834"
"0","20241107","100.043114566","100.043114566"
"0","20241108","99.9765400538","99.9765400538"
"0","20241111","100","100"
"0","20241112","99.9809279701","99.9809279701"
"0","20241113","100.002698554","100.002698554"
"0","20241114","99.9913903082","99.9913903082"
"0","20241115","99.984377309","99.984377309"
"0","20241118","100.005607165","100.005607165"
"0","20241119","100.018705967","100.018705967"
"0","20241120","100.016004355","100.016004355"
"0","20241121","100.005715835","100.005715835"
"0","20241122","99.9926829453","99.9926829453"
"0","20241125","100.020752018","100.020752018"
"0","20241126","100.000972671","100.000972671"
"0","20241127","99.9896299884","99.9896299884"
"0","20241128","100","100"
"0","20241129","100.014179062","100.014179062"
"0","20241202","99.997361831","99.997361831"
"0","20241203","99.9985692932","99.9985692932"
"0","20241204","100.00680485","100.00680485"
"0","20241205","100.014533253","100.014533253"
"0","20241206","100.018483909","100.018483909"
"0","20241209","99.9893820544","99.9893820544"
"0","20241210","99.9997345435","99.9997345435"
"0","20241211","100.019149784","100.019149784"
"0","20241212","99.9804886908","99.9804886908"
"0","20241213","99.9817364842","99.9817364842"
"0","20241216","99.9900172541","99.9900172541"
"0","20241217","99.9880637178","99.9880637178"
"0","20241218","99.9229139681","99.9229139681"
"0","20241219","99.9954631202","99.9954631202"
"0","20241220","100.024788472","100.024788472"
"0","20241223","99.9869843841","99.9869843841"
"0","20241224","100.000455388","100.000455388"
"0","20241225","100","100"
"0","20241226","99.9926231254","99.9926231254"
"0","20241227","99.9708237127","99.9708237127"
"0","20241230","99.975584556","99.975584556"
"0","20241231","99.9924957601","99.9924957601"
"0","20250101","100","100"
"0","20250102","100.03266194","100.03266194"
"0","20250103","100.030450523","100.030450523"
"0","20250106","100.016317805","100.016317805"
"0","20250107","99.9859108988","99.9859108988"
"0","20250108","99.9743142082","99.9743142082"
"0","20250109","100.014295082","100.014295082"
"0","20250110","99.9677231467","99.9677231467"
"0","20250113","99.9986263499","99.9986263499"
"0","20250114","100.024137252","100.024137252"
"0","20250115","100.044798515","100.044798515"
"0","20250116","99.9880894909","99.9880894909"
"0","20250117","100.010092502","100.010092502"
"0","20250120","100","100"
"0","20250121","100.037089578","100.037089578"
"0","20250122","100.013934829","100.013934829"
"0","20250123","100.005896522","100.005896522"
"0","20250124","100.008041352","100.008041352"
"0","20250127","99.9674418564","99.9674418564"
"0","20250128","100.015010367","100.015010367"
"0","20250129","99.992162512","99.992162512"
"0","20250130","99.9999012954","99.9999012954"
"0","20250131","99.9887499507","99.9887499507"
"0","20250203","99.9992219173","99.9992219173"
"0","20250204","100.014699324","100.014699324"
"0","20250205","100.008050658","100.008050658"
"0","20250206","100.001363652","100.001363652"
"0","20250207","99.9980975481","99.9980975481"
"0","20250210","100.006454879","100.006454879"
"0","20250211","100.001058953","100.001058953"
"0","20250212","100.019587588","100.019587588"
"0","20250213","100.021601468","100.021601468"
"0","20250214","100.0213122","100.0213122"
"0","20250217","100","100"
"0","20250218","100.003062861","100.003062861"
"0","20250219","99.9913516261","99.9913516261"
"0","20250220","99.9932955229","99.9932955229"
