"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846047_3663846049[Simulated Levels\CDX.NA.IG.OTR.5Y]"
"0","20241018","100.002346366","100.002346366"
"0","20241021","99.9917609793","99.9917609793"
"0","20241022","99.9961133128","99.9961133128"
"0","20241023","99.9896201515","99.9896201515"
"0","20241024","100.007895178","100.007895178"
"0","20241025","99.9960380155","99.9960380155"
"0","20241028","100.009255983","100.009255983"
"0","20241029","99.9984851369","99.9984851369"
"0","20241030","99.9945290135","99.9945290135"
"0","20241031","99.9884675149","99.9884675149"
"0","20241101","100.00782012","100.00782012"
"0","20241104","99.9919607565","99.9919607565"
"0","20241105","100.021840934","100.021840934"
"0","20241106","100.028638354","100.028638354"
"0","20241107","100.010027519","100.010027519"
"0","20241108","100.009180666","100.009180666"
"0","20241111","100","100"
"0","20241112","99.9897336126","99.9897336126"
"0","20241113","99.996778859","99.996778859"
"0","20241114","99.9924995411","99.9924995411"
"0","20241115","99.995176209","99.995176209"
"0","20241118","100.004493356","100.004493356"
"0","20241119","100.001530077","100.001530077"
"0","20241120","99.9990631455","99.9990631455"
"0","20241121","100.002579005","100.002579005"
"0","20241122","100.002732045","100.002732045"
"0","20241125","100.00647587","100.00647587"
"0","20241126","99.9973863042","99.9973863042"
"0","20241127","100.000568089","100.000568089"
"0","20241128","100","100"
"0","20241129","100.005935234","100.005935234"
"0","20241202","100.003547021","100.003547021"
"0","20241203","99.9973894673","99.9973894673"
"0","20241204","99.9994804158","99.9994804158"
"0","20241205","100.002986705","100.002986705"
"0","20241206","100.00254812","100.00254812"
"0","20241209","99.9945420401","99.9945420401"
"0","20241210","100.002384914","100.002384914"
"0","20241211","100.005758503","100.005758503"
"0","20241212","99.9920435431","99.9920435431"
"0","20241213","99.995627077","99.995627077"
"0","20241216","100.003694518","100.003694518"
"0","20241217","99.9978454985","99.9978454985"
"0","20241218","99.9703681828","99.9703681828"
"0","20241219","99.9888748278","99.9888748278"
"0","20241220","100.022249374","100.022249374"
"0","20241223","99.9964647038","99.9964647038"
"0","20241224","100.010037471","100.010037471"
"0","20241225","100","100"
"0","20241226","100.005009222","100.005009222"
"0","20241227","99.9893391167","99.9893391167"
"0","20241230","99.9884994782","99.9884994782"
"0","20241231","100.00413011","100.00413011"
"0","20250101","100","100"
"0","20250102","100.005532064","100.005532064"
"0","20250103","100.007316763","100.007316763"
"0","20250106","100.002494651","100.002494651"
"0","20250107","99.9893606958","99.9893606958"
"0","20250108","99.9947895973","99.9947895973"
"0","20250109","99.9943771362","99.9943771362"
"0","20250110","99.987642769","99.987642769"
"0","20250113","99.9978452091","99.9978452091"
"0","20250114","100.009741444","100.009741444"
"0","20250115","100.022395731","100.022395731"
"0","20250116","99.9935977979","99.9935977979"
"0","20250117","100.005007116","100.005007116"
"0","20250120","100","100"
"0","20250121","100.015261774","100.015261774"
"0","20250122","99.9915141139","99.9915141139"
"0","20250123","100.005651832","100.005651832"
"0","20250124","99.9965668978","99.9965668978"
"0","20250127","99.9920352213","99.9920352213"
"0","20250128","100.005608245","100.005608245"
"0","20250129","99.9974045769","99.9974045769"
"0","20250130","100.004019727","100.004019727"
"0","20250131","99.9955555722","99.9955555722"
"0","20250203","99.9950856457","99.9950856457"
"0","20250204","100.009504391","100.009504391"
"0","20250205","100.002385356","100.002385356"
"0","20250206","99.9981243228","99.9981243228"
"0","20250207","99.9937715107","99.9937715107"
"0","20250210","100.006309726","100.006309726"
"0","20250211","100.000534553","100.000534553"
"0","20250212","100.003836381","100.003836381"
"0","20250213","100.007898323","100.007898323"
"0","20250214","100.00221111","100.00221111"
"0","20250217","100","100"
"0","20250218","100.00201778","100.00201778"
"0","20250219","99.9992622161","99.9992622161"
"0","20250220","99.9978457611","99.9978457611"
