"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3665894399_3665894401[Simulated Levels\CNY Govt 20Y]"
"0","20241018","1.00006493596","1.00006493596"
"0","20241021","0.999930806433","0.999930806433"
"0","20241022","0.999848604211","0.999848604211"
"0","20241023","0.999839782371","0.999839782371"
"0","20241024","0.999900872929","0.999900872929"
"0","20241025","0.999968584865","0.999968584865"
"0","20241028","0.999789691434","0.999789691434"
"0","20241029","0.999905758732","0.999905758732"
"0","20241030","1.00007408929","1.00007408929"
"0","20241031","1.00011147796","1.00011147796"
"0","20241101","1.00015847856","1.00015847856"
"0","20241104","1.00006325953","1.00006325953"
"0","20241105","1.00013968107","1.00013968107"
"0","20241106","1.00007025471","1.00007025471"
"0","20241107","0.999957716909","0.999957716909"
"0","20241108","1.00014733545","1.00014733545"
"0","20241111","1.00000174504","1.00000174504"
"0","20241112","1.00012790167","1.00012790167"
"0","20241113","1.00005696135","1.00005696135"
"0","20241114","0.999935167696","0.999935167696"
"0","20241115","0.999952771193","0.999952771193"
"0","20241118","0.99979471452","0.99979471452"
"0","20241119","0.999912057953","0.999912057953"
"0","20241120","1.00000248579","1.00000248579"
"0","20241121","1.0000472268","1.0000472268"
"0","20241122","1.00018080635","1.00018080635"
"0","20241125","1.00016361587","1.00016361587"
"0","20241126","1.00014976107","1.00014976107"
"0","20241127","0.999989233522","0.999989233522"
"0","20241128","1.00021964755","1.00021964755"
"0","20241129","1.00017066748","1.00017066748"
"0","20241202","1.00028290081","1.00028290081"
"0","20241203","1.00019725901","1.00019725901"
"0","20241204","1.00034697683","1.00034697683"
"0","20241205","1.00004904068","1.00004904068"
"0","20241206","0.999990563116","0.999990563116"
"0","20241209","1.0001902776","1.0001902776"
"0","20241210","1.00040512353","1.00040512353"
"0","20241211","1.00033364784","1.00033364784"
"0","20241212","1.00004481696","1.00004481696"
"0","20241213","1.00026330417","1.00026330417"
"0","20241216","1.00046581359","1.00046581359"
"0","20241217","0.99997575275","0.99997575275"
"0","20241218","0.999824574407","0.999824574407"
"0","20241219","0.999974531148","0.999974531148"
"0","20241220","1.00004980378","1.00004980378"
"0","20241223","1.00023672984","1.00023672984"
"0","20241224","0.999867598106","0.999867598106"
"0","20241225","0.99942975825","0.99942975825"
"0","20241226","0.999935989377","0.999935989377"
"0","20241227","1.00027656098","1.00027656098"
"0","20241230","1.00010630976","1.00010630976"
"0","20241231","1.00017313779","1.00017313779"
"0","20250101","1","1"
"0","20250102","1.00086086662","1.00086086662"
"0","20250103","1.00008107991","1.00008107991"
"0","20250106","1.00024899483","1.00024899483"
"0","20250107","0.999949322412","0.999949322412"
"0","20250108","0.999979537773","0.999979537773"
"0","20250109","0.999806129982","0.999806129982"
"0","20250110","0.999938714893","0.999938714893"
"0","20250113","0.999941190673","0.999941190673"
"0","20250114","1.00008355184","1.00008355184"
"0","20250115","1.00016876262","1.00016876262"
"0","20250116","0.999934770097","0.999934770097"
"0","20250117","0.999969337626","0.999969337626"
"0","20250120","0.999898815033","0.999898815033"
"0","20250121","1.00008231047","1.00008231047"
"0","20250122","1.00004105966","1.00004105966"
"0","20250123","1.00001727925","1.00001727925"
"0","20250124","1.00001977474","1.00001977474"
"0","20250127","1.00021380336","1.00021380336"
"0","20250128","1","1"
"0","20250129","1","1"
"0","20250130","1","1"
"0","20250131","1","1"
"0","20250203","1","1"
"0","20250204","1","1"
"0","20250205","1.00030518267","1.00030518267"
"0","20250206","1.00015266319","1.00015266319"
"0","20250207","0.999982434419","0.999982434419"
"0","20250210","0.999905752425","0.999905752425"
"0","20250211","0.999998028292","0.999998028292"
"0","20250212","1.0000431292","1.0000431292"
"0","20250213","1.00003379667","1.00003379667"
"0","20250214","0.999874303427","0.999874303427"
"0","20250217","0.999775790569","0.999775790569"
"0","20250218","0.999769268219","0.999769268219"
"0","20250219","1.00006723069","1.00006723069"
"0","20250220","0.999832511155","0.999832511155"
"0","20250221","0.999741964464","0.999741964464"
"0","20250224","0.999576013676","0.999576013676"
"0","20250225","1.0000042865","1.0000042865"
"0","20250226","1.00003241634","1.00003241634"
"0","20250227","0.999731609435","0.999731609435"
"0","20250228","1.00014421031","1.00014421031"
"0","20250303","1.00024483984","1.00024483984"
"0","20250304","0.999939939765","0.999939939765"
"0","20250305","1.00009109952","1.00009109952"
"0","20250306","0.999766121658","0.999766121658"
"0","20250307","0.999549666772","0.999549666772"
"0","20250310","0.999768077056","0.999768077056"
"0","20250311","0.999543763387","0.999543763387"
"0","20250312","1.00019927487","1.00019927487"
"0","20250313","0.999914492654","0.999914492654"
"0","20250314","0.999998834663","0.999998834663"
"0","20250317","0.999291042411","0.999291042411"
"0","20250318","0.999873466718","0.999873466718"
"0","20250319","1.00010905337","1.00010905337"
"0","20250320","1.00035127197","1.00035127197"
"0","20250321","1.00008130235","1.00008130235"
"0","20250324","1.00002012325","1.00002012325"
"0","20250325","1.00022948798","1.00022948798"
"0","20250326","1.00031255949","1.00031255949"
"0","20250327","0.999899952144","0.999899952144"
"0","20250328","0.999854832517","0.999854832517"
"0","20250331","1.00006360299","1.00006360299"
"0","20250401","1.00000045684","1.00000045684"
"0","20250402","1.00037390275","1.00037390275"
"0","20250403","1.00077053021","1.00077053021"
"0","20250404","1","1"
"0","20250407","1.00088508023","1.00088508023"
"0","20250408","0.99953462442","0.99953462442"
"0","20250409","1.00006331198","1.00006331198"
"0","20250410","0.999888541704","0.999888541704"
"0","20250411","1.00001688912","1.00001688912"
"0","20250414","1.00004781991","1.00004781991"
"0","20250415","1.00002325416","1.00002325416"
"0","20250416","1.00002042706","1.00002042706"
"0","20250417","0.999915168028","0.999915168028"
"0","20250418","0.999967690259","0.999967690259"
"0","20250421","0.999900132486","0.999900132486"
"0","20250422","1.00007428494","1.00007428494"
"0","20250423","0.999950420164","0.999950420164"
"0","20250424","1.0000103332","1.0000103332"
"0","20250425","1.00003215752","1.00003215752"
"0","20250428","1.00017932708","1.00017932708"
"0","20250429","1.00029129426","1.00029129426"
"0","20250430","1.00003440635","1.00003440635"
"0","20250501","1","1"
"0","20250502","1","1"
"0","20250505","1","1"
"0","20250506","1.00000274089","1.00000274089"
"0","20250507","0.99988890891","0.99988890891"
"0","20250508","1.00003340089","1.00003340089"
"0","20250509","1.00003634397","1.00003634397"
"0","20250512","0.9996722852","0.9996722852"
