"level","Scenario[Scenario]","Simulated Levels [1][Simulated Levels\Total]","Simulated Levels [1]_3663846043_3663846045[Simulated Levels\iTraxx Europe OTR 5Y]"
"0","20241018","100.002424702","100.002424702"
"0","20241021","99.9860525513","99.9860525513"
"0","20241022","99.993658202","99.993658202"
"0","20241023","99.9924254439","99.9924254439"
"0","20241024","100.006549285","100.006549285"
"0","20241025","100.005239989","100.005239989"
"0","20241028","100.003755241","100.003755241"
"0","20241029","99.9960827357","99.9960827357"
"0","20241030","99.9937813505","99.9937813505"
"0","20241031","99.9883994062","99.9883994062"
"0","20241101","100.003565472","100.003565472"
"0","20241104","99.9963386425","99.9963386425"
"0","20241105","100.005740698","100.005740698"
"0","20241106","100.014182855","100.014182855"
"0","20241107","100.01704274","100.01704274"
"0","20241108","100.001097874","100.001097874"
"0","20241111","100.010866379","100.010866379"
"0","20241112","99.9868225107","99.9868225107"
"0","20241113","100.004043587","100.004043587"
"0","20241114","99.9983037814","99.9983037814"
"0","20241115","99.9865306211","99.9865306211"
"0","20241118","100.004723944","100.004723944"
"0","20241119","99.9971962918","99.9971962918"
"0","20241120","99.9924906828","99.9924906828"
"0","20241121","99.9976669278","99.9976669278"
"0","20241122","99.9924737943","99.9924737943"
"0","20241125","100.002586667","100.002586667"
"0","20241126","99.9927903198","99.9927903198"
"0","20241127","100.002872399","100.002872399"
"0","20241128","100.003937388","100.003937388"
"0","20241129","100.013891455","100.013891455"
"0","20241202","99.9955969393","99.9955969393"
"0","20241203","100.000059112","100.000059112"
"0","20241204","100.011608151","100.011608151"
"0","20241205","100.015342567","100.015342567"
"0","20241206","100.008464819","100.008464819"
"0","20241209","99.9984298244","99.9984298244"
"0","20241210","99.9955552111","99.9955552111"
"0","20241211","100.005033448","100.005033448"
"0","20241212","99.9966529585","99.9966529585"
"0","20241213","99.991297172","99.991297172"
"0","20241216","100.004828668","100.004828668"
"0","20241217","99.9962346705","99.9962346705"
"0","20241218","99.9997676837","99.9997676837"
"0","20241219","99.9733735326","99.9733735326"
"0","20241220","100.000794661","100.000794661"
"0","20241223","99.9948869525","99.9948869525"
"0","20241224","100.004871793","100.004871793"
"0","20241225","100","100"
"0","20241226","100","100"
"0","20241227","100.001438068","100.001438068"
"0","20241230","99.986805358","99.986805358"
"0","20241231","100.00130298","100.00130298"
"0","20250101","100","100"
"0","20250102","100.012954371","100.012954371"
"0","20250103","99.99579771","99.99579771"
"0","20250106","100.016837776","100.016837776"
"0","20250107","99.9940496671","99.9940496671"
"0","20250108","99.9806801046","99.9806801046"
"0","20250109","100.001431324","100.001431324"
"0","20250110","99.9890682534","99.9890682534"
"0","20250113","99.9922799573","99.9922799573"
"0","20250114","100.006860688","100.006860688"
"0","20250115","100.024336646","100.024336646"
"0","20250116","100.00556436","100.00556436"
"0","20250117","100.009120157","100.009120157"
"0","20250120","100.002446103","100.002446103"
"0","20250121","100.002523339","100.002523339"
"0","20250122","100.007254765","100.007254765"
"0","20250123","99.9997753831","99.9997753831"
"0","20250124","100.00269156","100.00269156"
"0","20250127","99.9872236349","99.9872236349"
"0","20250128","100.005905849","100.005905849"
"0","20250129","100.001482749","100.001482749"
"0","20250130","100.006769676","100.006769676"
"0","20250131","100.000153467","100.000153467"
"0","20250203","99.9835240546","99.9835240546"
"0","20250204","100.006727327","100.006727327"
"0","20250205","100.003634019","100.003634019"
"0","20250206","100.009367578","100.009367578"
"0","20250207","99.9881868662","99.9881868662"
"0","20250210","100.006798019","100.006798019"
"0","20250211","100.00035327","100.00035327"
"0","20250212","100.004220275","100.004220275"
"0","20250213","100.013386837","100.013386837"
"0","20250214","100.003837913","100.003837913"
"0","20250217","99.9995753482","99.9995753482"
"0","20250218","100.00453588","100.00453588"
"0","20250219","99.98957139","99.98957139"
"0","20250220","99.9944923922","99.9944923922"
"0","20250221","99.9991243047","99.9991243047"
"0","20250224","99.9951854145","99.9951854145"
"0","20250225","99.9952360934","99.9952360934"
"0","20250226","100.014456188","100.014456188"
"0","20250227","99.9861656302","99.9861656302"
"0","20250228","99.9926366576","99.9926366576"
"0","20250303","100.007035714","100.007035714"
"0","20250304","99.9789446287","99.9789446287"
"0","20250305","100.012323558","100.012323558"
"0","20250306","99.9970001758","99.9970001758"
"0","20250307","99.991845391","99.991845391"
"0","20250310","99.9866311166","99.9866311166"
"0","20250311","99.9880403807","99.9880403807"
"0","20250312","100.010508407","100.010508407"
"0","20250313","99.9736495969","99.9736495969"
"0","20250314","100.016450928","100.016450928"
"0","20250317","100.009734105","100.009734105"
"0","20250318","100.004101019","100.004101019"
"0","20250319","100.007850834","100.007850834"
"0","20250320","99.99472606","99.99472606"
"0","20250321","99.9798931547","99.9798931547"
"0","20250324","100.014813871","100.014813871"
"0","20250325","100.004776859","100.004776859"
"0","20250326","99.9852603092","99.9852603092"
"0","20250327","99.9755653956","99.9755653956"
"0","20250328","99.9821564382","99.9821564382"
"0","20250331","99.9826006461","99.9826006461"
"0","20250401","100.001499779","100.001499779"
"0","20250402","99.9936433149","99.9936433149"
"0","20250403","99.9523548663","99.9523548663"
"0","20250404","99.9280881644","99.9280881644"
"0","20250407","99.9799392145","99.9799392145"
"0","20250408","100.020426669","100.020426669"
"0","20250409","99.9403530773","99.9403530773"
"0","20250410","100.056391694","100.056391694"
"0","20250411","99.9957213012","99.9957213012"
"0","20250414","100.029251384","100.029251384"
"0","20250415","100.015069029","100.015069029"
"0","20250416","99.999779547","99.999779547"
"0","20250417","99.9998615347","99.9998615347"
"0","20250418","100","100"
"0","20250421","100","100"
"0","20250422","100.000454807","100.000454807"
"0","20250423","100.026674122","100.026674122"
"0","20250424","100.010517643","100.010517643"
"0","20250425","100.008867885","100.008867885"
"0","20250428","99.9992244267","99.9992244267"
"0","20250429","99.9951156235","99.9951156235"
"0","20250430","99.9877451823","99.9877451823"
"0","20250501","100.013660748","100.013660748"
"0","20250502","100.015289451","100.015289451"
"0","20250505","100","100"
"0","20250506","100.006205487","100.006205487"
"0","20250507","100.00052101","100.00052101"
"0","20250508","100.019431183","100.019431183"
"0","20250509","100.002961877","100.002961877"
"0","20250512","100.033027574","100.033027574"
"0","20250513","100.023574814","100.023574814"
"0","20250514","99.9883103815","99.9883103815"
"0","20250515","99.9983429977","99.9983429977"
"0","20250516","99.9972467521","99.9972467521"
"0","20250519","99.9996238039","99.9996238039"
"0","20250520","100.007246625","100.007246625"
"0","20250521","99.9957221999","99.9957221999"
"0","20250522","99.9871407534","99.9871407534"
"0","20250523","99.9737164284","99.9737164284"
"0","20250526","100","100"
"0","20250527","100.02967075","100.02967075"
"0","20250528","100.000746033","100.000746033"
"0","20250529","100.00180022","100.00180022"
"0","20250530","99.9966043217","99.9966043217"
"0","20250602","100.000400969","100.000400969"
"0","20250603","100.008919296","100.008919296"
"0","20250604","100.003499803","100.003499803"
"0","20250605","100.0019906","100.0019906"
"0","20250606","100.008171838","100.008171838"
"0","20250609","100.000179072","100.000179072"
"0","20250610","100.001960171","100.001960171"
"0","20250611","100.007383423","100.007383423"
"0","20250612","99.9839557637","99.9839557637"
"0","20250613","99.9844402576","99.9844402576"
"0","20250616","100.01697216","100.01697216"
"0","20250617","99.9838438134","99.9838438134"
"0","20250618","99.9900456141","99.9900456141"
"0","20250619","99.974457318","99.974457318"
"0","20250620","100.018003411","100.018003411"
"0","20250623","99.9949550933","99.9949550933"
"0","20250624","100.033708638","100.033708638"
"0","20250625","99.9957261649","99.9957261649"
"0","20250626","100.004961791","100.004961791"
"0","20250627","100.014440685","100.014440685"
"0","20250630","100.002358856","100.002358856"
"0","20250701","100.003027318","100.003027318"
"0","20250702","100.000081463","100.000081463"
"0","20250703","100.013778317","100.013778317"
"0","20250704","99.9816487231","99.9816487231"
"0","20250707","100.009264596","100.009264596"
"0","20250708","99.9972067472","99.9972067472"
"0","20250709","100.006246368","100.006246368"
"0","20250710","100.00159216","100.00159216"
"0","20250711","99.9898709417","99.9898709417"
"0","20250714","99.995804321","99.995804321"
"0","20250715","99.9958085029","99.9958085029"
"0","20250716","99.9905500558","99.9905500558"
"0","20250717","100.018027226","100.018027226"
"0","20250718","100.003582459","100.003582459"
"0","20250721","99.9986120872","99.9986120872"
"0","20250722","99.9925929097","99.9925929097"
"0","20250723","100.011106744","100.011106744"
"0","20250724","100.006791572","100.006791572"
"0","20250725","100.001939775","100.001939775"
"0","20250728","99.9974417633","99.9974417633"
"0","20250729","100.004872165","100.004872165"
"0","20250730","99.9965194041","99.9965194041"
"0","20250731","99.991480052","99.991480052"
"0","20250801","99.9694510491","99.9694510491"
"0","20250804","100.009164613","100.009164613"
"0","20250805","100.000385516","100.000385516"
"0","20250806","100.003010084","100.003010084"
"0","20250807","100.01125958","100.01125958"
"0","20250808","100.009755483","100.009755483"
