"level","Scenario[Scenario]","Simulated Level [1][Simulated Level]"
"0","20241018","999337.53828"
"0","20241021","995931.364585"
"0","20241022","999791.633022"
"0","20241023","999417.25065"
"0","20241024","1001177.50372"
"0","20241025","996249.837367"
"0","20241028","998693.221025"
"0","20241029","1001018.06618"
"0","20241030","994489.180535"
"0","20241031","1000138.41553"
"0","20241101","998113.326362"
"0","20241104","999958.524036"
"0","20241105","999987.552001"
"0","20241106","1004979.32351"
"0","20241107","999182.326392"
"0","20241108","1006066.79719"
"0","20241111","1006040.98498"
"0","20241112","997259.698696"
"0","20241113","1000072.66207"
"0","20241114","1000949.62639"
"0","20241115","1003058.61997"
"0","20241118","997222.236891"
"0","20241119","1001179.77715"
"0","20241120","1002508.29885"
"0","20241121","1001164.06887"
"0","20241122","1007960.99636"
"0","20241125","999093.383317"
"0","20241126","1000110.1749"
"0","20241127","997315.076467"
"0","20241128","1002188.35825"
"0","20241129","1003713.63996"
"0","20241202","1005940.8291"
"0","20241203","996458.347992"
"0","20241204","1000148.64457"
"0","20241205","997099.554281"
"0","20241206","1001728.25584"
"0","20241209","996543.686943"
"0","20241210","1005082.67211"
"0","20241211","999527.698738"
"0","20241212","998060.111695"
"0","20241213","995186.967465"
"0","20241216","998614.396869"
"0","20241217","1000126.91753"
"0","20241218","998449.960565"
"0","20241219","1000709.43608"
"0","20241220","1000881.58905"
"0","20241223","997670.116159"
"0","20241224","999703.85036"
"0","20241225","1000032.57497"
"0","20241226","998109.147692"
"0","20241227","997682.715904"
"0","20241230","1005504.48529"
"0","20241231","1001438.03594"
"0","20250101","1000005.88169"
"0","20250102","1005559.31888"
"0","20250103","997122.69653"
"0","20250106","991396.595708"
"0","20250107","999266.976129"
"0","20250108","1002715.98413"
"0","20250109","999800.413204"
"0","20250110","1000052.98663"
"0","20250113","1001792.92326"
"0","20250114","992489.534711"
"0","20250115","1006281.28701"
"0","20250116","1002680.52625"
"0","20250117","999787.767127"
"0","20250120","993966.4785"
"0","20250121","1002458.43073"
"0","20250122","997592.712532"
"0","20250123","1000212.82884"
"0","20250124","993491.864127"
"0","20250127","1004683.80407"
"0","20250128","1003927.22134"
"0","20250129","1000432.63127"
"0","20250130","1001288.9768"
"0","20250131","1001706.56106"
"0","20250203","1006214.86414"
"0","20250204","997102.702902"
"0","20250205","1002101.52503"
"0","20250206","1002797.40701"
"0","20250207","999943.156345"
"0","20250210","1001479.21317"
"0","20250211","995582.770947"
"0","20250212","993256.319617"
"0","20250213","1000850.18652"
"0","20250214","997161.487267"
"0","20250217","1001674.05838"
"0","20250218","998040.239966"
"0","20250219","1002387.12937"
"0","20250220","998842.758748"
"0","20250221","1004479.34891"
"0","20250224","999478.530861"
"0","20250225","1001232.42669"
"0","20250226","1000988.61265"
"0","20250227","1004704.17383"
"0","20250228","1002065.61144"
"0","20250303","994200.54926"
"0","20250304","996185.388767"
"0","20250305","979232.581349"
"0","20250306","995723.537041"
"0","20250307","995995.427354"
"0","20250310","1003539.26663"
"0","20250311","991346.723318"
"0","20250312","998985.565898"
"0","20250313","1005615.1476"
"0","20250314","997563.579028"
"0","20250317","998133.638254"
"0","20250318","999635.483023"
"0","20250319","1004136.77376"
"0","20250320","1003085.4999"
"0","20250321","1001689.21029"
"0","20250324","997732.74889"
"0","20250325","1000135.71045"
"0","20250326","999998.91231"
"0","20250327","998474.059552"
"0","20250328","1002180.31744"
"0","20250331","1002441.67371"
